file_name,transcription,utterance_id
data\segment_8517.wav," Even if the amendment comes, it will be prospective. So there's no point keeping this present petition unless Malad is inclined to change it from ninety one and give her interpretations. Let's keep it where it is right now, whether it is prospective, retrospective, we need anticipate what Parliament will do. No, Malad, even if they bring it or change it, doesn't change it, it will be all prospective. We don't know. Parliament has the power to do what it prospect to legislate retrospectively. Today, Malad, the question is what transpired from ninety one till till now.",urvbavmdaj
data\segment_8518.wav," Malor what fell from my lord is my lord would not give an interpretation which would change things right across the battle. Why are you insisting on that? I mean, elaborate arguments, I think all the pros and cons have been discussed in course of the deliberations and the government is proposing to take a call by virtue of the amendment. Whether the amendment will apply retrospectively, I'm sure they will have a Chief Justice has already indicated that there will have to be a sunset clause as well.",1ahytkxmgk
data\segment_8519.wav," So therefore, I don't think the submission that you are making has any bearing on the matter. You want us to write us the judgment. Why are we protected? For the intimate order. Our interests are protected. That will be in pursuance pursuant to the order dated twenty two november twenty twenty three comma.",ndbpdrsiuq
data\segment_8520.wav," The Ministry, the Union Ministry of Roads, Transport and Highways.",nulkwjudmx
data\segment_8521.wav, As carried out an exercise of consultations.,k7ajvytr3a
data\segment_8522.wav, which the Leonard Attorney General has submitted a note indicating that the consultations carried out by the ministry have culminated in certain proposals for amending the Motor Vehicles Act nineteen eighty eight.,fmangzue28
data\segment_3.wav," I send that note yes, I mean shared, placing on record the culmination of the consultative process. The I mean there are",82llldv8ub
data\segment_8523.wav," By its communication dated fifteen April twenty twenty four, the Ministry has placed on the record details of the proposed amendments to this statute. Will stop in view of the",isazardejh
data\segment_8524.wav," Impending general elections, the election attorney general for India requests that the that these proceedings may be deferred until the last week of july twenty twenty four so as to enable the Union government to bring forth proposals for the amendment of the Motor Vehicles Act eighteen eighty eight before the newly constituted Parliament.",aikfgo480u
data\segment_8525.wav," Following the elections, following the general election, stop. The impact, if any, of the proposed of the amendment which is proposed on the reference is, of course, will be decided in the course of the hearing. In view of the above position, we stand over the hearing of the reference to the Constitution banner to thirty july two thousand nine.",fxq0h2l5li
data\segment_8526.wav," twenty four. That will be just one thing, Lord. So for the consultation, we are allowed to, because it will only make the process. See, we don't have to say it's a parliamentary process, so we can't say that you shall be consulted. They'll always do it. You submit your representation to MORTH. Lordship has one time to reiterate. And my lords, if it's important, they've already carried out extensive consultation. If you are so interested, you should have made your representation. Anyway, we'll not say anything.",g341ha5ye2
data\segment_8527.wav," You can always subscribe. I just want to say what the para five of the order of twenty second eleven to twenty three in this very matter. I'll just read that order where Lotsheva given us the protection ring. It says during the pendency of this reference, the judgment of the three judge benches, the Vangan shall continue to hold the field. That's all. So we have said that with now until today. That is already clarified from that order.",8izkxmjzfg
data\segment_8528.wav," Just one thing note in the last order, what your Lordship had said was, it is understood that in the event that the issue is not resolved by that date by the Union government, the proceedings shall be listed for concluding the remaining part of the hearing on twenty third AD. Now, they have virtually formalized the amendment. I know, I know, I know. So all I'm saying is, would your Lordship only add this, because if they don't do it by the next date, because we're not at some state, if it doesn't conclude, if the government comes to the conclusion that you don't want to bring an amendment then, we will then, in.",it8u9pdzvj
data\segment_8529.wav," I think even prior to the said date of hearing, I'll be able to come back to the court and inform the court in advance and the progress will certainly be intimated to the court.",2rcx50v4rv
data\segment_8530.wav, Two women for you.,tzk55or2vl
data\segment_8531.wav, and,qog2xfx0qf
data\segment_8532.wav, You can also share a note with the court.,lr7453dm9y
data\segment_4.wav, I also placed on record the proposed amendments and things like that since Mokan came in the context whether an endorsement would require or not. So all this conclusion that the classification.,tes7h0yht4
data\segment_8533.wav," Now, what do we do in this case? Because the committee has submitted its report. The government says that, you know, because of the impending elections, we have not been able to take a final conclusion. Now, you have said that on a prima facie consideration of the report and points of view that may be presented to the court in this regard, this court may proceed to hear the matter or await the final outcomes in the consultative process and the views of the government dominating therefrom.",r37f0awexx
data\segment_8534.wav," So what would you should be listed then for hearing and I think either way because I would request as your lordship should because the government has not accepted the report and it's still being deliberated at the inter ministerial level. So if this process goes on, it'll go on for six months. So what we can do is we are now on the sixteenth of April. We have basically one two and three weeks now.",b45dhf3scp
data\segment_8535.wav," This might take to argue. The written submissions have come in on both sides. I think mainly it is for the government and them to argue. On our side, I think there are only two of us. So we will not be able to in the issue will be my lords really the four judgments of your lodges now in TRF, Perkins and Tantia on one side and Core on the other. That's really the there are some maybe other judgments also.",hievd1nthq
data\segment_8536.wav," That's good. That's good. That's good. That's good. That's good. That's good. In fact, there are multiple facets which will have to be considered.",u4odtxw39d
data\segment_8537.wav," Lubbies, two days should be enough. I know.",rkgyenfo9n
data\segment_8538.wav," Please. Thirteenth of July. Please. Please. One more request, my lord. I had moved an application for detagging of my petition, but we are withdrawing that application for detagging my lord. That's one zero, one, two zero. I've only spent some time whether to be detagged or not. Now they're withdrawing, I withdraw my time spent on that. In view of the in view of the note which has been submitted by the Athenian by the Landertain Channel. It has been agreed on.",f16qbd383a
data\segment_8539.wav," On behalf of all the council appearing on behalf of the contesting parties, the proceedings may be now listed for final hearing. Please make the reference to the Constitution Bench. The proceedings shall be listed on thirtieth. We should debit on the thirtieth itself. It may go on for a second day. For a second day. So thirtieth, thirty first, we clap it down.",fsxg48a8rz
data\segment_8540.wav," And my lords, I may be permitted to withdraw. There are some people who believe in me three days. I don't know, we'll keep it finished in two days. I mean, I don't think this reference will take longer than that. There's so many judgments now which hold the page from Perkins onwards. What are the questions of drawing? Continuing to Perkins' judgment that now all unilateral arbitration agreements stand struck on. Iceberg Perkins, that will have to decide.",k7sj2g0pv4
data\segment_8541.wav," We will hear everybody, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no",lkehxuz4qq
data\segment_8542.wav," We'll say by the fifteenth of July. Yes. All parties seeking to file any submissions shall ensure that they are forwarded to the Nodal Council on or before twelve, on or before eleven July twenty twenty four. So you have four days, then you have to just collate it and put it in a problem. Already mostly done mostly done.",b0w0gstyko
data\segment_5.wav," Yes, that's interesting.",lkcwelwor9
data\segment_8543.wav, Make sure that they are emailed to the court master so that.,vx0ul1al87
data\segment_8544.wav, Reconquered.,0uv4dh51p3
data\segment_6.wav," Yes, Mr Dinhill, I got your notice.",jc7er2chjg
data\segment_7.wav, Along with the note we have a little.,noml5bvlf5
data\segment_8.wav," There's a letter received from the ministry which is I place it on record fifteen April which outlines in surietum the proposed amendment. But after I looked into it, I thought of a few more.",nddicuy5a8
data\segment_9.wav," But therefore, like us to now hear the matter at this stage or defer the matter for the consent.",duscxgi4dd
data\segment_8545.wav," Yes, you can just schedule it. Yesterday's matter. That is. Yes, in this matter, you are not just not permitting all the matters. All right, let's not open the matter. Just give us this, that's all.",rn8oydrdkc
data\segment_10.wav," That's good. mister Ganesh, are you supporting Cheneya also?",7arbjt67e7
data\segment_8546.wav," The reason is, Buller, that there is a condition. We are all as human beings.",74wz8ypckl
data\segment_8547.wav," Victims of conditioning, we are conditioned to believe that everything is all right.",d5pbt8xfhb
data\segment_8548.wav," We are conditioned to believe that things are the way they are because they are meant to be. Often heard dialogue is Malot, if these people were not to do this job, who else will? And that is the reason these things should remain as it is, but that definitely is a mindset we need to shake ourselves out of.",wxjb0injxd
data\segment_8549.wav," There are no ironclad barriers, Muller.",ikd7fegfbh
data\segment_8550.wav, which you keep.,af6jrerp3d
data\segment_8551.wav, The backward confined to their backwardness just because what they do is what nobody else would do and they're not doing what they are doing will not suit the entitled. That is the answer. We have to change these prejudices. We have to change the mindset.,8m5g38ip6y
data\segment_8552.wav, The problem is the resistance. The problem is the resistance to change that mindset. The problem is that it seems like a huge shift in a societal mindset.,grz59ye5li
data\segment_8553.wav," To steer ourselves away from it and think that why can everybody in the society not be equal? And as we go along, the core issue here is not only the advantaged and the disadvantaged, but the more advantaged and the more disadvantaged within the disadvantaged. That is the issue that we are addressing your lordships.",325xv05s8f
data\segment_8554.wav," Undoubtedly, Muller.",49gmuc2n52
data\segment_8555.wav," The change has to come at the grassroot level of society, undoubtedly.",hbq3iw2ptm
data\segment_11.wav," I'm supporting the state of Ariana and the Ariana P, which is effectively the GWP, because that was the earlier factor. That's all right. Therefore, you are saying that Chenaya should be reconsidered. So apart from your learned friend, who else? Right. So at least we have some contest then, that's very important, because we must have two perspectives before.",8dkx63czku
data\segment_8556.wav, What happens?,wgw4zmuyw8
data\segment_8557.wav, in the mind is controlled by exposure mostly to what is stocked in each and every household of this country. That has to change. But it still does not take away,euv19wcnbb
data\segment_8558.wav, The obligations upon the state,5yhv579etc
data\segment_8559.wav, to aid and assist this change.,nlsatjlcg1
data\segment_8560.wav, Which either.,phmkgwpe6v
data\segment_8561.wav, In the form of.,63h11vs996
data\segment_8562.wav, bringing about a law.,e1t86ouqxo
data\segment_8563.wav," by the legislature, decisions of the executive",gkxcp6bcoz
data\segment_8564.wav," And more important than anything else, the laying down of the law by your lordships, which will eventually bring this change, because once your lordships lay down a law, the acceptance of a proposition goes up tremendously. Because your lordships say so, there is a dispensation of the public to follow the law. So from either of these three wings, if an assistance and aid is coming, in achieving these results.",347cbjkdi3
data\segment_8565.wav, It is more important than the other. We cannot downplay any part of this because,zp6oz2g74j
data\segment_12.wav, That's all right. We are on who says China need not be reconsidered because we must have some contest and somebody from the other side.,2s8e5kt31p
data\segment_8566.wav," As I put it, Mullert, normally when we argue cases of reservation,",szb8uc6grz
data\segment_8567.wav," A very common plea is raised that my lord, I have ninety nine percent marks. I'm being ousted by a person who has fifty six percent marks. Is that fair? Yes, it is.",ew65g7vbiz
data\segment_8568.wav," It is fair because the person who has fifty six, he never had the means to be brought up in a family that you've come up in. He never had the means to go to a school that you went to, to the college that you went to, and to the competition preparation that you went through. And today ninety nine is not your achievement. It is a coglomeration of all the factors that you've been through.",9apxa8tzph
data\segment_8569.wav, That fifty six is in spite of the factors that that child has been through. He has today reached fifty six starting from zero.,3uy34mn4wq
data\segment_8570.wav, Your ride has been of an airplane from your birth. This person has walked his way to fifty six. That is what we need to understand.,3hiowh25fv
data\segment_8571.wav, that the person who got fifty six had no access to a dignified life. He was brought up in a neighborhood,vqfwtu9thd
data\segment_8572.wav, which did not give him any access to good education.,gfgzrx9of6
data\segment_8573.wav, What to talk of employment?,othc9w6baz
data\segment_8574.wav," And eventually, Malot, what are we striving to achieve here? By way of employment, we are wanting to make that person a part of governance.",qi3s74yhwg
data\segment_8575.wav, He has to feel that I am a part of running this country. I am a part of aiding the growth of this country by getting employment. That is why we mostly be Melot on sixteen four.,wsxskp5hvc
data\segment_13.wav," Alright, so that's good. We have therefore we have council on both sides. The Tamil Nadu is actually appearing in the decision. He's not appearing in the, because I think the list only makes sure that he's appearing in the intervention. But as every council gets up, we'll ask them which matter they're appearing in. So we have that clearly good for us. So not sure, but the parties have then interveners, so then we can go first the parties and then the interveners. I think that should be correct. Yeah. So that we can adjust one of our ransoms.",9aw90s2h8c
data\segment_8576.wav, So for that purpose the obligation of the state is best discharged.,2oq7ztc88e
data\segment_8577.wav, by affirmative action under fifteen four and sixteen four.,7udn9bky6t
data\segment_8578.wav, To give.,x2vf1nnh4b
data\segment_8579.wav," This person who is backward access, we have to give him at least an opportunity.",f67smsbkks
data\segment_8580.wav," I will go as far as to say, Muller, that the old phrase that you can take a horse to water, you can't make him drink. We will have to make an effort to make that horse drink because that horse has never seen water. That horse does not know that it is this water which would eventually quench his thirst for becoming a part of governance. He wants it, but he doesn't know how to get it because he's stuck in a cycle.",ixzt2udqso
data\segment_8581.wav, of occupational drudgery which the society doesn't let him come out of.,rm0q32szzk
data\segment_8582.wav," Though opportunities are available, but they are not being capitalized because of, I would not say the intent, but the effectiveness of the implementation is lacking.",4nzprlln90
data\segment_8583.wav," But eventually, if we all agree on this, that the goal is equality of opportunity, then what we urge before your lordships today is that measures need to be taken to make this goal not illusionary or formal, not a mere provision on paper.",kq1gv6hxxt
data\segment_8584.wav," These goals do not have to be illusionary or formal, but actual and effective.",q1uzq42zqb
data\segment_8585.wav," They have to be end oriented. If I can put it simply, they have to be end oriented. Results have to show.",pm7gf1plyb
data\segment_14.wav," Yes, yes, of course. We've seen the referring judgment, so we know that yes, mister Advocate. Now to start again, Muller, the first core issue, Muller, which your lordships would examine is the efficacy of measures taken under the constitutional provisions framed for eradication of inequality in over seventy six years of our independence.",kihq6x25gi
data\segment_8586.wav," And in this there is a heavy onus upon the state, either at the center or the state level.",51vo1j6w2u
data\segment_8587.wav, For achieving this equality of opportunity.,g3nlacbr5o
data\segment_8588.wav," Malot, this implementation has happened in phased manners. There have been amendments in the Constitution. There have been large number of executive orders, memorandums, laws, legislations brought out by various states. Malot, one of them of my state is under challenge before your lordships from where this litigation arose. Just to put it briefly, though it's not a relevant issue that your lordships would be deciding. In Punjab, Malot, we brought out an act in two thousand six.",wp8nqspay8
data\segment_8589.wav," Where out of the posts which were reserved for the scheduled castes, fifty percent of the posts were reserved for Balmikis and Mazabis. That was your first circular which you brought out. Not this, yeah, no, this was not circular apart. This was the legislative act which was under challenge. The circular preceded the, yes, because the circular had been struck down, exactly for want of legislative time. So therefore, the legislation in two thousand six.",bc3k0e2d7n
data\segment_8590.wav," Section four, subsection five, reserved fifty percent.",zypi38l27b
data\segment_8591.wav, of the posts for Balmiki Sikhs and Mazabis.,qq08fkbyfs
data\segment_8592.wav, And,qbo6n6op0c
data\segment_8593.wav, There is a twofold implementation which saves it from the vice of discrimination and reverse reservation and reverse discrimination as we know it.,udkb6uvh9f
data\segment_8594.wav," This reservation in the two thousand six Act was done on a twofold check and balance. One, that this reservation was limited to fifty percent, which in the development of law Muller has become the Luxman Rekha, which we are all advised not to cross. And the second check and balance was that this was implemented.",4chs593xum
data\segment_8595.wav, On a preferential basis.,bc989b1m8h
data\segment_15.wav," And the second issue might be. It is right, Bernard. The efficacy of measures adopted by the states.",hk35e8vwuf
data\segment_8596.wav," So, Malod, as I would say, this was not an act of exclusion by any standard. By any standard, what Chenayama Lord seeks to say is that this would be an act of exclusion. No, this was, if at all, an act of inclusion of those who were the most backward of the backward to bring them.",0bkv7qxlqj
data\segment_8597.wav," If not at par, at least up from where they stood. mister Educational, when you said that it was implemented on a preferential basis. That's right. Can you elaborate that? How is it implemented on a preferential basis? Not so suppose there are ten vacancies for scheduled cars in a particular year or a particular recruitment. Five were reserved for Balbikis and Mazabis. If they were available and if they were not available.",uysoe0lro2
data\segment_8598.wav," It was to go to SC others, which are Ramdasias and other scheduled casts, which were available. So in every recruitment, one would ensure that ten scheduled casts definitely came in. But at the first instance, the right of preference of five of those ten.",84iumsxn6x
data\segment_8599.wav," was to go to Balikis and Mazatkis. So there was no carry forward for Carry forward was Balat and Balat for the SC together. Yes. But not for the SC together. Yes. But not for the SC together. They were exhausted within that recruitment. Yes. So therefore, if I can put it in cost effective way, this preference based reservation was not at anybody's cost. It was not that if they did not get it, nobody would get it.",b5l2tn1x8z
data\segment_8600.wav," If they did not reach the mullet cutoff for getting that reservation, a scheduled cast only would get it. And your lordships are right, those scheduled cast vacancies were to be then in common law mullet, as we all know it, to be carried forward and not counted towards reservation, this, that and the other, all those parameters were to follow. It was not that they would either be converted to general or not be filled up and left vacant. There is nothing of that sort.",uqlqgvj2ve
data\segment_8601.wav," So therefore, that is the core, Balot, that if you cannot even as much as give preference to somebody who is really needy without that being at the cost of somebody and that act of the state government is squashed, is that correct? We are here to urge that before your lodge. Now, Malot, actually, mister Abukir General, there is an element of exclusion. I mean, let's not gloss over it. The point only is this.",ct1ek9inow
data\segment_8602.wav," That because you know the same exclusion which applies to reservation per se, per se of excluding direct, as we all forward posts are reserved, yes posts are reserved for a backward community, a there is necessarily an exclusion of the forward community in competing for those posts, right? Yet our constitutional jurisprudence permits it why because we treat as we treat equality as a substantive equality, not formal equality. That's right.",htxkdo3fut
data\segment_8603.wav," Therefore, post NM Thomas, we have now developed jurisprudence to the effect that reservation is not really a breach of equality, but it's in the same interestingly, the same argument which applies for reservation for the backward communities, the block, the backward versus forward, would also apply within the backward community. Because what now we are really doing here by the measure which the Punjab legislature brought about was this.",w6y71nvptm
data\segment_8604.wav," That within the reservation of seats for the scheduled cars, which is fifteen and a half percent, we'll take it for a moment, you know, I mean, just as a bench. That's right, as a ballpark. Out of the fifteen hundred and fifteen and a half percent, which falls within the overall fifty percent cap, fifty percent of the fifteen and a half percent is reserved for the Mazabi Sikhs and the Balmikis. That's right, right. So to that extent to which the reservation is exclusively carved out for them.",6kwnqfvdx2
data\segment_8605.wav," The other backward cast cannot compete for those posts which are set apart from there. So in a sense, in the first instance, in a sense, it is in that sense exclusionary. We can't gloss over the point that it is gloss over. It is exclusionary. We can't. The only the only question really is this that is that exclusion, can that exclusion not be justified on the same yardstick that we have applied for the exclusion in the.",flfcqf2zaz
data\segment_16.wav," for eradication of inequality in over seventy six years of independence. You know, that's the first.",2i0kbyevoy
data\segment_8606.wav," Backward versus forward context. If I had to put it very because within the backward, within the backward, within the backward communities, within the scheduled cast, is there anything in constitutional jurisprudence which restrains the state from saying that I am not deleting a community from the list of scheduled caste which has been designated by the president under article three hundred forty one or three hundred forty two, but within those communities.",n8jc59qrwx
data\segment_8607.wav," I am now making a classification that certain communities are more backward and therefore in greater need for protection on the same touchstone of substantive equality. And if that can be done by the state in reserving certain in carving out certain posts out of the competition of the general community,",ehua4ucv2r
data\segment_8608.wav," Then why can't the state do it within the backward communities? That's really the absolutely. But there is an element of exclusion. We must face it. There I don't think we can be lost. What this entire example that your lordships have given is based upon a very simple word, which is relative backwardness.",2pcrwpkj6a
data\segment_8609.wav," Once we concede to the argument of relativity in backwardness and it is the backwardness, which is the forward which brings them into the fifty percent and it is the further more backwardness within the fifty percent which gives them the reservation within the reserve, then this argument has no problem. Chenaya said Chenaya's whole rationale was this that the power to designate communities as scheduled castes and scheduled tribes.",nksxmbdn52
data\segment_8610.wav," exclusively belongs to the President and now therefore to the Parliament. For instance, you know, you, you know, in Milan, we have got all those Palgardjilath and then Milan Satvari which came from Maharashtra. That's true. It is not open, for instance, for the court to say that though this community is designated as a scheduled caste.",cyfs3fs440
data\segment_8611.wav," Another community is part of the designated community. You have to take the list. That can't do. That jurisprudence is now very, very well said. That power has been reserved for the list. That power has been reserved for the parliament remains so. That's right. But the argument which seems to have found favor in Chennai was this, that if that is so, then the state cannot classify within the list of communities which are designated as statutory cars.",tt8pdxbft4
data\segment_8612.wav," Because to make that classification would amount to an exclusion of some communities within the scheduled class. That seems to be the logic of yes and no. I mean, very simply put, that's very controversial. Because Chenaya, in my humble submission, was a plane which took off from the wrong runway. And your argument would be, I guess, that you're not deleting any community from the list which has been designated by there's no exclusion. There's no exclusion.",pfx974yyem
data\segment_8613.wav," But within the quota, within the quota, you are saying why should not there be exclusion according to you amongst a particular category? Please, some of the subclass.",og4oal5myh
data\segment_8614.wav," have done better. They are the forward in that category. Absolutely. They should come out of that and compete with the general wire. Stay there. There. And let the remaining who are still backward within the backward. Let them have the reservation. Manaj are absolutely right, but there are two ways that this whole concept achieved the concept of reservation. That was the aim. Pull out of that category. That is the aim. Yes. And if the aim is achieved, then the purpose for which the exercise was taken should come to an end.",0kth4dkdv2
data\segment_8615.wav, Because nobody millionaire aim is achieved according to you for certain subcasts within that particular within within Mulan. So they are saying it works in two ways. They have achieved they should come out and the remaining should get that benefit. Yes. Now Mulan. What your lordships are suggesting. No argument appears to be among the backwards. There are more backwards. Yes. And therefore they require a more special treatment. Yes. Than the backwards. Yes. Yes. What we what Justice Nath is suggesting is your argument.,ul9gbxr8x6
data\segment_17.wav, And the second.,qzas2laany
data\segment_8616.wav," I look at your argument also would be at two levels. One is the equality argument, and the other is the federal argument, which you also made. One, the equality argument postulates that it is open to the state to classify within the scheduled class by identifying those who are really, really within them in a state of relative marginalization. Absolutely. That's the substantive equality argument. And if you can do that between the.",87jy0fqcty
data\segment_8617.wav," Between the general communities and the value of tasks, why can you not apply the same principle? The same principle there. The second, of course, is the federal argument. Yes. That every state within the nation is peculiarly conversant with the conditions of the castes and communities which are prevalent in that state. So right. And therefore, what Parliament has done is to designate castes and tribes for the entirety of the nation.",3io2ohbzi9
data\segment_8618.wav," But that does not take away the power of every state within its own territories to say that well, these are the communities within my state, yes, who are particularly marginalized, yes, are worthy of special attention benefits, as they cause benefits. And there is nothing in the constitutional structure to prevent the state from doing that because it ultimately owes responsibility to its own to its own decision. Absolutely. But now what Justice Knight was saying is the ultimate argument, which they rightly note for the parliament.",uffg1dzvnv
data\segment_8619.wav," You must have done some exercise. Yes, in identifying the backward within the backward. Within the backward. And because of the Azerbaijani and Valmikis. Absolutely, Malad. Now, now they What are the parameters or the considerations you've taken into identifying? Various, various reports, Malad, which show that those people are two things. One, they continue to be backward. And or in spite of being what they are.",rnfvmcnumh
data\segment_8620.wav," They are not adequately represented in services under the state. These are two parameters. One, are they really the backward within the backward? Two, whether they are backward within the backward or not so backward or forward backward or backward forward, they are still not represented. So there is something lacking somewhere in the matter of policy. And that is what the state seeks to address. Now, mister Goodwill, do we have some population data?",u5mu21dgms
data\segment_8621.wav," On what is the total population of SEs in Punjab and what is the population of the Balmikis and Mazabi Sikhs within that group of SEs? What do we do? They are all statistically available. But why I am not stressing upon that is because the reference to your lordship's primary numerical arguments, not a numerical argument. It's not a numerical argument. The argument is first of all, can you do it? As Justice Nathan is correctly put, can you do it?",chqwj22tvq
data\segment_8622.wav," If you can and the answer is yes, who is to do it? Parliament, state, executive, legislative. And if who is to do it is determined, then how that state is to do it? How is not the issue? You have laid down the jurisprudential framework in the first part of your submission. Now, why don't you go into the litigity of it?",8ou1fm1fsd
data\segment_8623.wav," Yes, show us the statutory provisions. I will come to that in just a minute. Then we look at Chennaiah. Yes. And why we look at the law before Chennaiah and after Chennaiah. Chennaiah is two thousand five. Chennaiah has then been overtaken by a lot of law on the Absolutely. Number one, why why I'm trying to distinguish that argument is that Chennaiah proceeds on the basic premise that.",8gwrg17ot9
data\segment_8624.wav, exercise of power for the purposes of identifying the backward within the backward is only of parliament is only of the parliament and any exercise by the state to that effect tinkers with that power.,4w3x8fwy26
data\segment_8625.wav," What Chenaya has possibly failed, we'll go through the judgment and see if I'm correct, is that sixteen four is an independent provision which has to be exercised by the state, either center or the state government. The powers which give the enabling provision an exercise to be conducted by forming an opinion is totally within the legislative domain and the executive domain of the state government. There, parliament does not figure.",8eta5l0728
data\segment_18.wav, Is the interplay?,nqkzkkbajj
data\segment_8626.wav," So the distinction is murot, for instance, that there is a murot room in which benefits are being provided. In common parlance, three hundred and forty one and three hundred and forty two are the pass with which you get into the room. That's all. Are you entitled to be in the room or not? The President decides first list, which is a one time exercise by the President.",j8dyr1ir8i
data\segment_8627.wav," That whether you're entitled to be in the room or not. Then, as common culture goes, we have VIP passes. So then the parliament decides that whether who's in the room is entitled to be in the room or to be displaced from the room or who's outside can be given an entry into the room or not.",lcbpoltveh
data\segment_8628.wav," There are two different exercises. One is a one time exercise by the President. He issues an order in nineteen fifty for Punjab, let's say, that these twenty six castes are entitled to be in the room for the purpose of benefits which the scheduled castes are entitled. Understood. Thereafter, that power is taken away from the President and rests totally in the Parliament, that whether those inside, as your Rochell put it, are entitled to remain inside any longer or not.",6r935vp67w
data\segment_8629.wav, And whether those outside have reached a stage where they now become entitled to be inside. So what is very interesting is that even the Constitution in three hundred forty one and three hundred forty two accepts this exercise to be a two way street.,igec9isv2w
